no	symbol	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en	type
808	K112-121_mpype_hc	1	111	226	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質千枚岩 高P/T型広域変成岩　緑泥石帯	pelitic phyllite chlorite zone of high P/T regional metamorphic rocks	6
809	Tr22-J31_mpype_hc	93	118	157	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質千枚岩 高P/T型広域変成岩　緑泥石帯	pelitic phyllite chlorite zone of high P/T regional metamorphic rocks	6
810	D3-P1_mpype_hc	16	47	1	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	泥質千枚岩 高P/T型広域変成岩　緑泥石帯	pelitic phyllite chlorite zone of high P/T regional metamorphic rocks	6
811	Ca-O_mpype_hc	1	38	95	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質千枚岩 高P/T型広域変成岩　緑泥石帯	pelitic phyllite chlorite zone of high P/T regional metamorphic rocks	6
812	K122-Pg12_msccg_hc	130	101	20	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　緑泥石帯	conglomerate schist chlorite zone of high P/T regional metamorphic rocks	6
813	K112-121_msccg_hc	131	101	20	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　緑泥石帯	conglomerate schist chlorite zone of high P/T regional metamorphic rocks	6
814	Tr22-J31_msccg_hc	132	101	20	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　緑泥石帯	conglomerate schist chlorite zone of high P/T regional metamorphic rocks	6
815	D3-P1_msccg_hc	133	101	20	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　緑泥石帯	conglomerate schist chlorite zone of high P/T regional metamorphic rocks	6
816	Ca-O_msccg_hc	134	101	20	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　緑泥石帯	conglomerate schist chlorite zone of high P/T regional metamorphic rocks	6
817	K122-Pg12_mscps_hc	210	190	28	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　緑泥石帯	psammitic schist chlorite zone of high P/T regional metamorphic rocks	6
818	K112-121_mscps_hc	210	190	29	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　緑泥石帯	psammitic schist chlorite zone of high P/T regional metamorphic rocks	6
819	Tr22-J31_mscps_hc	210	190	30	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　緑泥石帯	psammitic schist chlorite zone of high P/T regional metamorphic rocks	6
820	D3-P1_mscps_hc	210	190	31	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　緑泥石帯	psammitic schist chlorite zone of high P/T regional metamorphic rocks	6
821	Ca-O_mscps_hc	210	190	32	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　緑泥石帯	psammitic schist chlorite zone of high P/T regional metamorphic rocks	6
822	K122-Pg12_mscpe_hc	66	140	214	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks	6
823	K112-121_mscpe_hc	0	110	225	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks	6
824	Tr22-J31_mscpe_hc	92	117	156	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks	6
825	D3-P1_mscpe_hc	15	46	0	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks	6
826	Ca-O_mscpe_hc	0	37	94	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　緑泥石帯	pelitic schist chlorite zone of high P/T regional metamorphic rocks	6
827	K122-Pg12_mscsi_hc	242	95	20	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　緑泥石帯	siliceous schist chlorite zone of high P/T regional metamorphic rocks	6
828	K112-121_mscsi_hc	243	95	20	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　緑泥石帯	siliceous schist chlorite zone of high P/T regional metamorphic rocks	6
829	Tr22-J31_mscsi_hc	244	95	20	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　緑泥石帯	siliceous schist chlorite zone of high P/T regional metamorphic rocks	6
830	D3-P1_mscsi_hc	245	95	20	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　緑泥石帯	siliceous schist chlorite zone of high P/T regional metamorphic rocks	6
831	Ca-O_mscsi_hc	246	95	20	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　緑泥石帯	siliceous schist chlorite zone of high P/T regional metamorphic rocks	6
832	K122-Pg12_mscca_hc	8	43	225	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　緑泥石帯	calcareous schist chlorite zone of high P/T regional metamorphic rocks	6
833	K112-121_mscca_hc	8	44	225	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　緑泥石帯	calcareous schist chlorite zone of high P/T regional metamorphic rocks	6
834	Tr22-J31_mscca_hc	8	45	225	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　緑泥石帯	calcareous schist chlorite zone of high P/T regional metamorphic rocks	6
835	D3-P1_mscca_hc	8	46	225	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　緑泥石帯	calcareous schist chlorite zone of high P/T regional metamorphic rocks	6
836	Ca-O_mscca_hc	8	47	225	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　緑泥石帯	calcareous schist chlorite zone of high P/T regional metamorphic rocks	6
837	K122-Pg12_mscma_hc	8	113	0	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　緑泥石帯	mafic schist chlorite zone of high P/T regional metamorphic rocks	6
838	K112-121_mscma_hc	9	113	0	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　緑泥石帯	mafic schist chlorite zone of high P/T regional metamorphic rocks	6
839	Tr22-J31_mscma_hc	10	113	0	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　緑泥石帯	mafic schist chlorite zone of high P/T regional metamorphic rocks	6
840	D3-P1_mscma_hc	11	113	0	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　緑泥石帯	mafic schist chlorite zone of high P/T regional metamorphic rocks	6
841	Ca-O_mscma_hc	12	113	0	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　緑泥石帯	mafic schist chlorite zone of high P/T regional metamorphic rocks	6
842	K122-Pg12_mscfe_hc	255	110	20	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks	6
843	K112-121_mscfe_hc	255	111	20	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks	6
844	Tr22-J31_mscfe_hc	255	112	20	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks	6
845	D3-P1_mscfe_hc	255	113	20	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks	6
846	Ca-O_mscfe_hc	255	114	20	古生代 カンブリア紀～オルドビス紀	Paleozoic Cambrian - Ordovician	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　緑泥石帯	felsic schist chlorite zone of high P/T regional metamorphic rocks	6
847	K122-Pg12_mrga_hg	5	64	108	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　ざくろ石帯	metagabbro garnet zone of high P/T regional metamorphic rocks	6
848	K112-121_mrga_hg	6	64	108	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　ざくろ石帯	metagabbro garnet zone of high P/T regional metamorphic rocks	6
849	Tr22-J31_mrga_hg	7	64	108	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　ざくろ石帯	metagabbro garnet zone of high P/T regional metamorphic rocks	6
850	D3-P1_mrga_hg	8	64	108	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　ざくろ石帯	metagabbro garnet zone of high P/T regional metamorphic rocks	6
851	K122-Pg12_mrhb_hg	61	64	108	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	"metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks"	6
852	K112-121_mrhb_hg	62	64	108	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	"metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks"	6
853	Tr22-J31_mrhb_hg	63	64	108	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	"metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks"	6
854	D3-P1_mrhb_hg	64	64	108	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成した角閃石岩・角閃岩 高P/T型広域変成岩　ざくろ石帯	"metamorphosed hornblendite, metamorphosed amphibolite garnet zone of high P/T regional metamorphic rocks"	6
855	K122-Pg12_mrpr_hg	68	0	160	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　ざくろ石帯	metaperidotite garnet zone of high P/T regional metamorphic rocks	6
856	K112-121_mrpr_hg	69	0	160	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　ざくろ石帯	metaperidotite garnet zone of high P/T regional metamorphic rocks	6
857	Tr22-J31_mrpr_hg	70	0	160	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　ざくろ石帯	metaperidotite garnet zone of high P/T regional metamorphic rocks	6
858	D3-P1_mrpr_hg	71	0	160	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　ざくろ石帯	metaperidotite garnet zone of high P/T regional metamorphic rocks	6
859	K122-Pg12_msp_hg	67	5	165	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　ざくろ石帯	serpentinite garnet zone of high P/T regional metamorphic rocks	6
860	K112-121_msp_hg	68	6	166	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　ざくろ石帯	serpentinite garnet zone of high P/T regional metamorphic rocks	6
861	Tr22-J31_msp_hg	69	7	167	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　ざくろ石帯	serpentinite garnet zone of high P/T regional metamorphic rocks	6
862	D3-P1_msp_hg	70	8	168	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　ざくろ石帯	serpentinite garnet zone of high P/T regional metamorphic rocks	6
863	K122-Pg12_msccg_hg	135	101	20	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　ざくろ石帯	conglomerate schist garnet zone of high P/T regional metamorphic rocks	6
864	K112-121_msccg_hg	136	101	20	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　ざくろ石帯	conglomerate schist garnet zone of high P/T regional metamorphic rocks	6
865	Tr22-J31_msccg_hg	137	101	20	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　ざくろ石帯	conglomerate schist garnet zone of high P/T regional metamorphic rocks	6
866	D3-P1_msccg_hg	138	101	20	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	礫質片岩 高P/T型広域変成岩　ざくろ石帯	conglomerate schist garnet zone of high P/T regional metamorphic rocks	6
867	K122-Pg12_mscps_hg	210	190	33	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　ざくろ石帯	psammitic schist garnet zone of high P/T regional metamorphic rocks	6
868	K112-121_mscps_hg	210	190	34	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　ざくろ石帯	psammitic schist garnet zone of high P/T regional metamorphic rocks	6
869	Tr22-J31_mscps_hg	210	190	35	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　ざくろ石帯	psammitic schist garnet zone of high P/T regional metamorphic rocks	6
870	D3-P1_mscps_hg	210	190	36	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	砂質片岩 高P/T型広域変成岩　ざくろ石帯	psammitic schist garnet zone of high P/T regional metamorphic rocks	6
871	K122-Pg12_mscpe_hg	2	107	232	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks	6
872	K112-121_mscpe_hg	0	90	232	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks	6
873	Tr22-J31_mscpe_hg	58	75	123	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks	6
874	D3-P1_mscpe_hg	51	41	0	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	泥質片岩 高P/T型広域変成岩　ざくろ石帯	pelitic schist garnet zone of high P/T regional metamorphic rocks	6
875	K122-Pg12_mscsi_hg	247	95	20	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　ざくろ石帯	siliceous schist garnet zone of high P/T regional metamorphic rocks	6
876	K112-121_mscsi_hg	248	95	20	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　ざくろ石帯	siliceous schist garnet zone of high P/T regional metamorphic rocks	6
877	Tr22-J31_mscsi_hg	249	95	20	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　ざくろ石帯	siliceous schist garnet zone of high P/T regional metamorphic rocks	6
878	D3-P1_mscsi_hg	250	95	20	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪質片岩 高P/T型広域変成岩　ざくろ石帯	siliceous schist garnet zone of high P/T regional metamorphic rocks	6
879	K122-Pg12_mscca_hg	8	48	225	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　ざくろ石帯	calcareous schist garnet zone of high P/T regional metamorphic rocks	6
880	K112-121_mscca_hg	8	49	225	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　ざくろ石帯	calcareous schist garnet zone of high P/T regional metamorphic rocks	6
881	Tr22-J31_mscca_hg	8	50	225	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　ざくろ石帯	calcareous schist garnet zone of high P/T regional metamorphic rocks	6
882	D3-P1_mscca_hg	8	51	225	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	石灰質片岩 高P/T型広域変成岩　ざくろ石帯	calcareous schist garnet zone of high P/T regional metamorphic rocks	6
883	K122-Pg12_mscma_hg	13	113	0	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　ざくろ石帯	mafic schist garnet zone of high P/T regional metamorphic rocks	6
884	K112-121_mscma_hg	14	113	0	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　ざくろ石帯	mafic schist garnet zone of high P/T regional metamorphic rocks	6
885	Tr22-J31_mscma_hg	15	113	0	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　ざくろ石帯	mafic schist garnet zone of high P/T regional metamorphic rocks	6
886	D3-P1_mscma_hg	16	113	0	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	苦鉄質片岩 高P/T型広域変成岩　ざくろ石帯	mafic schist garnet zone of high P/T regional metamorphic rocks	6
887	K122-Pg12_mscfe_hg	255	115	20	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks	6
888	K112-121_mscfe_hg	255	116	20	中生代 前期白亜紀 バランギニアン期～アプチアン期	Mesozoic Early Cretaceous Valanginian - Aptian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks	6
889	Tr22-J31_mscfe_hg	255	117	20	中生代 後期三畳紀 ラディニアン期～後期ジュラ紀 オックスフォーディアン期	Mesozoic Late Triassic Ladinian - Late Jurassic Oxfordian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks	6
890	D3-P1_mscfe_hg	255	118	20	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	珪長質片岩 高P/T型広域変成岩　ざくろ石帯	felsic schist garnet zone of high P/T regional metamorphic rocks	6
891	K122-Pg12_mrga_hab	10	64	108	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　アルバイト黒雲母帯	metagabbro albite-biotite zone of high P/T regional metamorphic rocks	6
892	D3-P1_mrga_hab	11	64	108	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成斑れい岩 高P/T型広域変成岩　アルバイト黒雲母帯	metagabbro albite-biotite zone of high P/T regional metamorphic rocks	6
893	K122-Pg12_mrpr_hab	73	0	160	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　アルバイト黒雲母帯	metaperidotite albite-biotite zone of high P/T regional metamorphic rocks	6
894	D3-P1_mrpr_hab	74	0	160	古生代 後期デボン紀～ペルム紀 シスウラリアン世	Paleozoic Late Devonian - Permian Cisuralian	変成岩	Metamorphic rocks	変成かんらん岩 高P/T型広域変成岩　アルバイト黒雲母帯	metaperidotite albite-biotite zone of high P/T regional metamorphic rocks	6
895	K122-Pg12_msp_hab	72	10	170	中生代 前期白亜紀 アルビアン期～新生代 古第三紀 暁新世 セランディアン期	Mesozoic Early Cretaceous Albian - Cenozoic Paleogene Paleocene Selandian	変成岩	Metamorphic rocks	蛇紋岩  高P/T型広域変成岩　アルバイト黒雲母帯	serpentinite albite-biotite zone of high P/T regional metamorphic rocks	6
