no	symbol	r	g	b	formationAge_ja	formationAge_en	group_ja	group_en	lithology_ja	lithology_en	type
28	K21_snc	215	151	87	中生代 後期白亜紀 セノマニアン期～サントニアン期	Mesozoic Late Cretaceous Cenomanian - Santonian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
29	K12_snc	211	147	83	中生代 前期白亜紀 アプチアン期～アルビアン期	Mesozoic Early Cretaceous Aptian - Albian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
30	K11_snc	207	143	79	中生代 前期白亜紀 ベリアシアン期～バレミアン期	Mesozoic Early Cretaceous Berriasian - Barremian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
31	J3_snc	203	139	75	中生代 後期ジュラ紀	Mesozoic Late Jurassic	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
32	J2_snc	199	135	71	中生代 中期ジュラ紀	Mesozoic Jurassic Middle	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
33	J1_snc	195	131	67	中生代 前期ジュラ紀	Mesozoic Jurassic Early	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
34	Tr22-3_snc	191	127	63	中生代 後期三畳紀 ラディニアン期～後期三畳紀	Mesozoic Late Triassic Ladinian - Late Triassic	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
35	Tr1-21_snc	187	123	59	中生代 前期三畳紀～後期三畳紀 アニシアン期	Mesozoic Early Triassic - Late Triassic Anisian	堆積岩	Sedimentary rocks	非海成層 礫岩	non-marine conglomerate	3
36	N3_sns	255	230	190	新生代 新第三紀 中新世 メッシニアン期～鮮新世	Cenozoic Neogene Miocene Messinian - Pliocene	堆積岩	Sedimentary rocks	非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"non-marine sandstone, or alternation of sandstone & mudstone or sandstone & mudstone"	2
37	N22_sns	251	226	130	新生代 新第三紀 中新世 後期サーラバリアン期～トートニアン期	Cenozoic Neogene Miocene late Serravallian - Tortonian	堆積岩	Sedimentary rocks	非海成層 砂岩，砂岩泥岩互層ないし砂岩・泥岩	"non-marine sandstone, or alternation of sandstone & mudstone or sandstone & mudstone"	2
